Nomenclatura;Tipo;Nome ;TE_P1;TE_P2;TE_P3 ;TE_P4 
BTE;EN;Precio Fijo BTE PrivadoPR1;0,109129;0,093876;0,109206;0,093721
BTE;EN;Precio Fijo BTE PrivadoPR2;0,107829;0,092576;0,107906;0,092421
BTE;EN;Precio Fijo BTE PrivadoPR3;0,106529;0,091276;0,106606;0,091121
BTE;EN;Precio Fijo BTE PrivadoPR4;0,105229;0,089976;0,105306;0,089821
BTE;EN;Precio Fijo BTE PrivadoPR5;0,103929;0,088676;0,104006;0,088521
BTE;EN;Precio Fijo  BTE Priv. FuturoPR1_FUT;0,10795;0,092711;0,108056;0,092594
BTE;EN;Precio Fijo  BTE Priv. FuturoPR2_FUT;0,10405;0,088811;0,104156;0,088694
BTE;EN;Precio Fijo BTE PrivadoPR1 24M;0,104413;0,089214;0,104607;0,089213
BTE;EN;Precio Fijo  BTE Priv. FuturoPR1_FUT 24M;0,104413;0,089214;0,104607;0,089213
BTE;EV;PF BTE Priv. Energía VerdePR1_EV;0,09262;0,07756;0,093111;0,077943
BTE;EV;PF BTE Priv. Energía VerdePR2_EV;0,09132;0,07626;0,091811;0,076643
BTE;EV;PF BTE Priv. Energía VerdePR3_EV;0,09002;0,07496;0,090511;0,075343
BTE;EV;PF BTE Priv. Energía VerdePR4_EV;0,08872;0,07366;0,089211;0,074043
BTE;EV;PF BTE Priv. Energía VerdePR5_EV;0,08742;0,07236;0,087911;0,072743
BTE;EV;Precio Fijo  BTE Priv. EV FuturoPR1_EV_FUT;0,091441;0,076395;0,091961;0,076816
BTE;EV;Precio Fijo  BTE Priv. EV FuturoPR2_EV_FUT;0,087541;0,072495;0,088061;0,072916
BTE;EV;PF BTE Priv. Energía VerdePR1_EV_24M;0,087903;0,072898;0,088512;0,073435
BTE;EV;Precio Fijo  BTE Priv. EV FuturoPR1_FUT_EV_24M;0,087903;0,072898;0,088512;0,073435
BTN;EN;Precio Fijo Simple Priv.PR9;0,094338;;;
BTN;EN;Precio Fijo Simple Priv.PR 24M;0,09522;;;
BTN;EN;Precio Fijo Simple Priv. FuturoPR2_FUT;0,094889;;;
BTN;EN;Precio Fijo Simple Priv. FuturoPR_FUT 24M;0,09522;;;
BTN;EN;Precio Fijo Bihorario Priv.PR9;0,090447;0,102795;;
BTN;EN;Precio Fijo Bihorario Priv.PR 24M;0,091249;0,103823;;
BTN;EN;Precio Fijo Bihorario Priv. FuturoPR2_FUT;0,090948;0,103438;;
BTN;EN;Precio Fijo Bihorario Priv. FuturoPR_FUT 24M;0,091249;0,103823;;
BTN;EN;Precio Fijo Trihorario Priv.PR9;0,106744;0,090643;0,100374;
BTN;EN;Precio Fijo Trihorario Priv.PR 24M;0,107474;0,091487;0,101406;
BTN;EN;Precio Fijo Trihorario Priv. FuturoPR2_FUT;0,1072;0,09117;0,101019;
BTN;EN;Precio Fijo Trihorario Priv. FuturoPR_FUT 24M;0,107474;0,091487;0,101406;
BTN;EN;Precio Fijo Trihor. >20,7 kVA Priv.PR9;0,106744;0,090643;0,100351;
BTN;EN;Precio Fijo Trihor. >20,7 kVA Priv.PR 24M;0,107474;0,091487;0,101386;
BTN;EN;Precio Fijo Trihor. >20,7 kVA Priv. FuturoPR2_FUT;0,1072;0,09117;0,100998;
BTN;EN;Precio Fijo Trihor. >20,7 kVA Priv. FuturoPR_FUT 24M;0,107474;0,091487;0,101386;
BTN;EV;PF Simple Priv. Energía VerdeTE_9_EV;0,141044;;;
BTN;EV;PF Simple Priv. EV FuturoTE_2_FUT_EV;0,141596;;;
BTN;EV;PF Simple Priv. Energía VerdeTE_24M_EV;0,141927;;;
BTN;EV;PF Simple Priv. EV FuturoTE_FUT_24M_EV;0,141927;;;
BTN;EV;PF Bihorario Priv. Energía VerdeTE_9_EV;0,159818;0,104846;;
BTN;EV;PF Bihorario Priv. EV FuturoTE_2_FUT_EV;0,16032;0,105489;;
BTN;EV;PF Bihorario Priv. Energía VerdeTE_24M_EV;0,160621;0,105874;;
BTN;EV;PF Bihorario Priv. EV FuturoTE_FUT_24M_EV;0,160621;0,105874;;
BTN;EV;PF Trihorario Priv. Energía VerdeTE_9_EV;0,34011;0,120172;0,104775;
BTN;EV;PF Trihorario Priv. EV FuturoTE_2_FUT_EV;0,340566;0,120699;0,10542;
BTN;EV;PF Trihorario Priv. Energía VerdeTE_1_24M_EV;0,34084;0,121016;0,105807;
BTN;EV;PF Trihorario Priv. EV FuturoTE_FUT_24M_EV;0,34084;0,121016;0,105807;
BTN;EV;PF Trihor. 20,7 kVA Priv. Energía VerdeTE_9_EV;0,34061;0,131372;0,103955;
BTN;EV;PF Trihor. 20,7 kVA Priv. EV FuturoTE_2_FUT_EV;0,341066;0,131899;0,104602;
BTN;EV;PF Trihor. 20,7 kVA Priv. Energía VerdeTE_1_24M_EV;0,34134;0,132216;0,104989;
BTN;EV;PF Trihor. 20,7 kVA Priv. EV FuturoTE_FUT_24M_EV;0,34134;0,132216;0,104989;
